totalRequestTime,loadSeconds,evalTokensPerSecond,modelName,promptTokenCount,outputTokenCount,timestamp
7.216925,5.829303,46.14142,llama3.2:1b,353.0,2.0,2026-06-26 11:56:20
1.731154,0.1629412,47.08541,llama3.2:1b,446.0,2.0,2026-06-26 11:56:22
1.543601,0.1595579,46.60484,llama3.2:1b,376.0,2.0,2026-06-26 11:56:24
1.33318,0.1628645,46.77815,llama3.2:1b,353.0,2.0,2026-06-26 11:56:25
1.143425,0.160597,47.38887,llama3.2:1b,292.0,2.0,2026-06-26 11:56:27
1.313377,0.1786003,46.88562,llama3.2:1b,330.0,2.0,2026-06-26 11:56:28
1.551977,0.1607183,47.25786,llama3.2:1b,400.0,2.0,2026-06-26 11:56:30
1.323867,0.1635513,47.28356,llama3.2:1b,312.0,2.0,2026-06-26 11:56:31
1.310676,0.1662186,47.18205,llama3.2:1b,334.0,2.0,2026-06-26 11:56:33
1.316273,0.1674363,47.18094,llama3.2:1b,312.0,2.0,2026-06-26 11:56:34
1.142601,0.1652627,47.11647,llama3.2:1b,285.0,2.0,2026-06-26 11:56:36
1.115658,0.1623647,47.2981,llama3.2:1b,269.0,2.0,2026-06-26 11:56:37
1.524924,0.1616031,47.30033,llama3.2:1b,399.0,2.0,2026-06-26 11:56:39
1.340752,0.163291,46.98254,llama3.2:1b,346.0,2.0,2026-06-26 11:56:40
1.938378,0.1600724,46.90652,llama3.2:1b,514.0,2.0,2026-06-26 11:56:42
1.362054,0.1646081,46.47812,llama3.2:1b,365.0,2.0,2026-06-26 11:56:44
1.142156,0.174664,47.02784,llama3.2:1b,288.0,2.0,2026-06-26 11:56:45
1.6824,0.1639583,46.88232,llama3.2:1b,432.0,2.0,2026-06-26 11:56:47
2.003896,0.1616139,47.05218,llama3.2:1b,451.0,2.0,2026-06-26 11:56:49
0.9387535,0.15958,46.68861,llama3.2:1b,236.0,2.0,2026-06-26 11:56:51
1.509146,0.1629548,47.3597,llama3.2:1b,383.0,2.0,2026-06-26 11:56:52
2.020204,0.1596783,43.64525,llama3.2:1b,501.0,2.0,2026-06-26 11:56:54
1.747036,0.1654309,46.22888,llama3.2:1b,439.0,2.0,2026-06-26 11:56:56
2.148164,0.163315,46.28772,llama3.2:1b,571.0,2.0,2026-06-26 11:56:59
1.352028,0.1582654,47.01126,llama3.2:1b,330.0,2.0,2026-06-26 11:57:00
0.9273178,0.1581081,47.00684,llama3.2:1b,226.0,2.0,2026-06-26 11:57:01
1.681304,0.1604636,46.56252,llama3.2:1b,445.0,2.0,2026-06-26 11:57:03
0.9195223,0.1643423,47.38213,llama3.2:1b,190.0,2.0,2026-06-26 11:57:04
1.301167,0.1639156,47.23554,llama3.2:1b,355.0,2.0,2026-06-26 11:57:06
1.332871,0.1589694,47.36306,llama3.2:1b,349.0,2.0,2026-06-26 11:57:08
1.554366,0.1621546,47.03005,llama3.2:1b,407.0,2.0,2026-06-26 11:57:09
1.554868,0.162967,47.00905,llama3.2:1b,408.0,2.0,2026-06-26 11:57:11
1.54247,0.1623799,46.29737,llama3.2:1b,391.0,2.0,2026-06-26 11:57:13
1.326683,0.1606662,47.00242,llama3.2:1b,345.0,2.0,2026-06-26 11:57:14
1.537197,0.1612362,47.12535,llama3.2:1b,418.0,2.0,2026-06-26 11:57:16
1.126816,0.1573202,47.04554,llama3.2:1b,262.0,2.0,2026-06-26 11:57:17
1.114403,0.1599611,47.12424,llama3.2:1b,295.0,2.0,2026-06-26 11:57:19
1.297302,0.1578002,47.00684,llama3.2:1b,306.0,2.0,2026-06-26 11:57:20
1.317812,0.1640986,46.85816,llama3.2:1b,304.0,2.0,2026-06-26 11:57:22
1.319757,0.1634634,46.89882,llama3.2:1b,309.0,2.0,2026-06-26 11:57:23
1.540622,0.1659362,46.94284,llama3.2:1b,373.0,2.0,2026-06-26 11:57:25
1.937942,0.1693074,47.04333,llama3.2:1b,498.0,2.0,2026-06-26 11:57:27
1.578012,0.1593913,47.40235,llama3.2:1b,401.0,2.0,2026-06-26 11:57:29
1.346626,0.1619123,47.00021,llama3.2:1b,325.0,2.0,2026-06-26 11:57:30
1.320817,0.1595707,47.41022,llama3.2:1b,311.0,2.0,2026-06-26 11:57:32
2.158509,0.1616926,46.91312,llama3.2:1b,599.0,2.0,2026-06-26 11:57:34
1.772997,0.1641398,46.75738,llama3.2:1b,463.0,2.0,2026-06-26 11:57:36
2.154596,0.177005,46.74863,llama3.2:1b,578.0,2.0,2026-06-26 11:57:39
1.342055,0.1604908,47.2534,llama3.2:1b,330.0,2.0,2026-06-26 11:57:40
1.312082,0.1629384,46.79895,llama3.2:1b,356.0,2.0,2026-06-26 11:57:42
1.559983,0.1595932,46.82744,llama3.2:1b,423.0,2.0,2026-06-26 11:57:43
1.331399,0.158666,46.98806,llama3.2:1b,351.0,2.0,2026-06-26 11:57:45
1.543177,0.159001,47.31376,llama3.2:1b,401.0,2.0,2026-06-26 11:57:47
1.318166,0.1620701,46.80114,llama3.2:1b,324.0,2.0,2026-06-26 11:57:48
1.322049,0.1599862,47.24112,llama3.2:1b,364.0,2.0,2026-06-26 11:57:50
1.726897,0.1645379,47.22996,llama3.2:1b,464.0,2.0,2026-06-26 11:57:52
1.339702,0.1637765,47.18205,llama3.2:1b,319.0,2.0,2026-06-26 11:57:53
1.540315,0.166073,47.21992,llama3.2:1b,425.0,2.0,2026-06-26 11:57:55
1.139899,0.1624143,47.4001,llama3.2:1b,268.0,2.0,2026-06-26 11:57:56
1.283931,0.1595838,47.09317,llama3.2:1b,315.0,2.0,2026-06-26 11:57:58
0.9373184,0.1652836,47.17093,llama3.2:1b,228.0,2.0,2026-06-26 11:57:59
1.539739,0.162405,47.23666,llama3.2:1b,430.0,2.0,2026-06-26 11:58:01
1.733245,0.1603576,47.13979,llama3.2:1b,452.0,2.0,2026-06-26 11:58:03
1.154434,0.1628125,47.24893,llama3.2:1b,290.0,2.0,2026-06-26 11:58:04
1.309026,0.166936,46.68534,llama3.2:1b,350.0,2.0,2026-06-26 11:58:05
1.327102,0.1625714,47.20989,llama3.2:1b,336.0,2.0,2026-06-26 11:58:07
1.523835,0.1608074,47.07544,llama3.2:1b,370.0,2.0,2026-06-26 11:58:09
1.57399,0.1604823,47.06215,llama3.2:1b,419.0,2.0,2026-06-26 11:58:10
1.352703,0.1698207,47.19875,llama3.2:1b,323.0,2.0,2026-06-26 11:58:12
1.135519,0.1627719,47.14535,llama3.2:1b,263.0,2.0,2026-06-26 11:58:13
1.313753,0.1629172,46.90322,llama3.2:1b,350.0,2.0,2026-06-26 11:58:15
1.348303,0.1629566,47.01679,llama3.2:1b,366.0,2.0,2026-06-26 11:58:16
1.328734,0.1587643,47.31264,llama3.2:1b,364.0,2.0,2026-06-26 11:58:18
1.132438,0.1615379,47.26791,llama3.2:1b,262.0,2.0,2026-06-26 11:58:19
1.119837,0.1637968,46.97151,llama3.2:1b,296.0,2.0,2026-06-26 11:58:21
1.948331,0.1593299,46.85706,llama3.2:1b,544.0,2.0,2026-06-26 11:58:23
1.348538,0.1611515,47.2021,llama3.2:1b,323.0,2.0,2026-06-26 11:58:24
1.532616,0.1557961,47.14868,llama3.2:1b,427.0,2.0,2026-06-26 11:58:26
1.573671,0.1690986,47.03558,llama3.2:1b,422.0,2.0,2026-06-26 11:58:28
1.577157,0.1623529,47.29474,llama3.2:1b,405.0,2.0,2026-06-26 11:58:30
1.532781,0.1608125,47.09317,llama3.2:1b,370.0,2.0,2026-06-26 11:58:31
1.536297,0.1550318,47.03226,llama3.2:1b,405.0,2.0,2026-06-26 11:58:33
1.715272,0.1648796,46.92522,llama3.2:1b,432.0,2.0,2026-06-26 11:58:35
2.162002,0.1603691,46.98917,llama3.2:1b,612.0,2.0,2026-06-26 11:58:37
1.347627,0.1622146,47.00573,llama3.2:1b,316.0,2.0,2026-06-26 11:58:39
1.514155,0.1629928,47.39224,llama3.2:1b,376.0,2.0,2026-06-26 11:58:41
1.552501,0.1589512,47.22439,llama3.2:1b,405.0,2.0,2026-06-26 11:58:42
1.546174,0.1602523,44.54343,llama3.2:1b,380.0,2.0,2026-06-26 11:58:44
2.1303,0.1602526,47.04001,llama3.2:1b,571.0,2.0,2026-06-26 11:58:46
1.570124,0.1636821,47.00794,llama3.2:1b,378.0,2.0,2026-06-26 11:58:48
1.925509,0.1661828,46.45653,llama3.2:1b,501.0,2.0,2026-06-26 11:58:50
1.366803,0.1628687,47.07211,llama3.2:1b,362.0,2.0,2026-06-26 11:58:52
1.117694,0.1570074,47.25116,llama3.2:1b,282.0,2.0,2026-06-26 11:58:53
1.523727,0.1609946,47.01347,llama3.2:1b,411.0,2.0,2026-06-26 11:58:55
1.330166,0.1637881,47.02231,llama3.2:1b,326.0,2.0,2026-06-26 11:58:56
1.517364,0.1629294,47.01568,llama3.2:1b,371.0,2.0,2026-06-26 11:58:58
1.710054,0.1639836,47.20321,llama3.2:1b,443.0,2.0,2026-06-26 11:59:00
1.342688,0.165321,47.07101,llama3.2:1b,306.0,2.0,2026-06-26 11:59:02
1.334002,0.1612165,47.02784,llama3.2:1b,355.0,2.0,2026-06-26 11:59:03
1.339447,0.1692935,46.67118,llama3.2:1b,348.0,2.0,2026-06-26 11:59:05
1.147606,0.1639817,46.9682,llama3.2:1b,283.0,2.0,2026-06-26 11:59:06
1.523417,0.1646937,46.82196,llama3.2:1b,405.0,2.0,2026-06-26 11:59:08
1.573456,0.1652078,46.76175,llama3.2:1b,423.0,2.0,2026-06-26 11:59:09
1.58569,0.1617351,47.32832,llama3.2:1b,419.0,2.0,2026-06-26 11:59:11
1.329054,0.1582219,46.99027,llama3.2:1b,324.0,2.0,2026-06-26 11:59:13
1.329318,0.162524,46.90432,llama3.2:1b,350.0,2.0,2026-06-26 11:59:14
1.954401,0.1625818,47.18539,llama3.2:1b,523.0,2.0,2026-06-26 11:59:16
1.734625,0.1614354,47.38887,llama3.2:1b,461.0,2.0,2026-06-26 11:59:18
1.349351,0.1606102,46.81538,llama3.2:1b,352.0,2.0,2026-06-26 11:59:20
1.944953,0.1581711,46.63527,llama3.2:1b,533.0,2.0,2026-06-26 11:59:22
1.559529,0.1597899,47.56921,llama3.2:1b,394.0,2.0,2026-06-26 11:59:24
1.720523,0.1661917,44.30366,llama3.2:1b,464.0,2.0,2026-06-26 11:59:26
1.57009,0.1768674,47.1498,llama3.2:1b,381.0,2.0,2026-06-26 11:59:28
1.540225,0.1607424,47.35185,llama3.2:1b,402.0,2.0,2026-06-26 11:59:29
1.146242,0.1638349,47.15646,llama3.2:1b,287.0,2.0,2026-06-26 11:59:31
1.289523,0.1604271,46.10207,llama3.2:1b,309.0,2.0,2026-06-26 11:59:32
1.91558,0.1571759,46.98475,llama3.2:1b,501.0,2.0,2026-06-26 11:59:34
1.765268,0.1609349,45.7331,llama3.2:1b,436.0,2.0,2026-06-26 11:59:36
