pmid,gold,raw_prediction,parsed_prediction,correct,model,total_seconds,timestamp
12377809,yes,maybe,maybe,0,llama3.2:1b,7.216925,2026-06-26 15:56:20
26163474,yes,maybe,maybe,0,llama3.2:1b,1.731154,2026-06-26 15:56:22
19100463,yes,no,no,0,llama3.2:1b,1.543601,2026-06-26 15:56:24
18537964,yes,yes,yes,1,llama3.2:1b,1.33318,2026-06-26 15:56:25
12913878,yes,maybe,maybe,0,llama3.2:1b,1.143425,2026-06-26 15:56:27
12765819,yes,Maybe,maybe,0,llama3.2:1b,1.313377,2026-06-26 15:56:28
25475395,yes,maybe,maybe,0,llama3.2:1b,1.551977,2026-06-26 15:56:30
19130332,yes,no,no,0,llama3.2:1b,1.323867,2026-06-26 15:56:31
9427037,yes,no,no,0,llama3.2:1b,1.310676,2026-06-26 15:56:33
24481006,yes,no,no,0,llama3.2:1b,1.316273,2026-06-26 15:56:34
8165771,yes,no,no,0,llama3.2:1b,1.142601,2026-06-26 15:56:36
22680064,yes,maybe,maybe,0,llama3.2:1b,1.115658,2026-06-26 15:56:37
22540518,yes,no,no,0,llama3.2:1b,1.524924,2026-06-26 15:56:39
20629769,yes,no,no,0,llama3.2:1b,1.340752,2026-06-26 15:56:40
21726930,yes,Yes,yes,1,llama3.2:1b,1.938378,2026-06-26 15:56:42
21481154,yes,no,no,0,llama3.2:1b,1.362054,2026-06-26 15:56:44
22902073,yes,maybe,maybe,0,llama3.2:1b,1.142156,2026-06-26 15:56:45
26370095,yes,no,no,0,llama3.2:1b,1.6824,2026-06-26 15:56:47
18041059,yes,Maybe,maybe,0,llama3.2:1b,2.003896,2026-06-26 15:56:49
15041506,yes,no,no,0,llama3.2:1b,0.9387535,2026-06-26 15:56:51
11146778,yes,no,no,0,llama3.2:1b,1.509146,2026-06-26 15:56:52
27281318,yes,no,no,0,llama3.2:1b,2.020204,2026-06-26 15:56:54
21645374,yes,no,no,0,llama3.2:1b,1.747036,2026-06-26 15:56:56
9465206,yes,maybe,maybe,0,llama3.2:1b,2.148164,2026-06-26 15:56:59
25887165,yes,no,no,0,llama3.2:1b,1.352028,2026-06-26 15:57:00
15995461,yes,no,no,0,llama3.2:1b,0.9273178,2026-06-26 15:57:01
21850494,yes,no,no,0,llama3.2:1b,1.681304,2026-06-26 15:57:03
19106867,yes,maybe,maybe,0,llama3.2:1b,0.9195223,2026-06-26 15:57:05
21342862,yes,no,no,0,llama3.2:1b,1.301167,2026-06-26 15:57:06
24352924,yes,no,no,0,llama3.2:1b,1.332871,2026-06-26 15:57:08
16147837,yes,maybe,maybe,0,llama3.2:1b,1.554366,2026-06-26 15:57:09
26879871,yes,maybe,maybe,0,llama3.2:1b,1.554868,2026-06-26 15:57:11
15918864,yes,no,no,0,llama3.2:1b,1.54247,2026-06-26 15:57:13
22075911,yes,no,no,0,llama3.2:1b,1.326683,2026-06-26 15:57:14
11035130,yes,No,no,0,llama3.2:1b,1.537197,2026-06-26 15:57:16
21228436,yes,yes,yes,1,llama3.2:1b,1.126816,2026-06-26 15:57:17
11833948,yes,maybe,maybe,0,llama3.2:1b,1.114403,2026-06-26 15:57:19
17682349,yes,no,no,0,llama3.2:1b,1.297302,2026-06-26 15:57:20
17355582,yes,maybe,maybe,0,llama3.2:1b,1.317812,2026-06-26 15:57:22
15597845,yes,no,no,0,llama3.2:1b,1.319757,2026-06-26 15:57:23
10158597,yes,maybe,maybe,0,llama3.2:1b,1.540622,2026-06-26 15:57:25
27549226,yes,yes,yes,1,llama3.2:1b,1.937942,2026-06-26 15:57:27
26348845,yes,no,no,0,llama3.2:1b,1.578012,2026-06-26 15:57:29
25588461,yes,no,no,0,llama3.2:1b,1.346626,2026-06-26 15:57:30
23359100,yes,maybe,maybe,0,llama3.2:1b,1.320817,2026-06-26 15:57:32
26548832,yes,no,no,0,llama3.2:1b,2.158509,2026-06-26 15:57:34
25756710,yes,no,no,0,llama3.2:1b,1.772997,2026-06-26 15:57:36
20297950,yes,maybe,maybe,0,llama3.2:1b,2.154596,2026-06-26 15:57:39
24622801,yes,no,no,0,llama3.2:1b,1.342055,2026-06-26 15:57:40
9722752,yes,Maybe,maybe,0,llama3.2:1b,1.312082,2026-06-26 15:57:42
20577124,yes,no,no,0,llama3.2:1b,1.559983,2026-06-26 15:57:43
19027440,yes,no,no,0,llama3.2:1b,1.331399,2026-06-26 15:57:45
18239988,yes,no,no,0,llama3.2:1b,1.543177,2026-06-26 15:57:47
27858166,yes,no,no,0,llama3.2:1b,1.318166,2026-06-26 15:57:48
27050489,yes,No,no,0,llama3.2:1b,1.322049,2026-06-26 15:57:50
16266387,yes,No,no,0,llama3.2:1b,1.726897,2026-06-26 15:57:52
27287237,yes,no,no,0,llama3.2:1b,1.339702,2026-06-26 15:57:53
11079675,yes,no,no,0,llama3.2:1b,1.540315,2026-06-26 15:57:55
10331115,yes,no,no,0,llama3.2:1b,1.139899,2026-06-26 15:57:56
18594195,yes,no,no,0,llama3.2:1b,1.283931,2026-06-26 15:57:58
22497340,yes,no,no,0,llama3.2:1b,0.9373184,2026-06-26 15:57:59
16769333,yes,no,no,0,llama3.2:1b,1.539739,2026-06-26 15:58:01
20571467,yes,maybe,maybe,0,llama3.2:1b,1.733245,2026-06-26 15:58:03
12094116,yes,maybe,maybe,0,llama3.2:1b,1.154434,2026-06-26 15:58:04
17276182,yes,no,no,0,llama3.2:1b,1.309026,2026-06-26 15:58:05
26419377,yes,No,no,0,llama3.2:1b,1.327102,2026-06-26 15:58:07
23810330,yes,no,no,0,llama3.2:1b,1.523835,2026-06-26 15:58:09
15151701,yes,maybe,maybe,0,llama3.2:1b,1.57399,2026-06-26 15:58:11
23736032,yes,no,no,0,llama3.2:1b,1.352703,2026-06-26 15:58:12
28143468,yes,maybe,maybe,0,llama3.2:1b,1.135519,2026-06-26 15:58:13
23495128,yes,no,no,0,llama3.2:1b,1.313753,2026-06-26 15:58:15
12121321,yes,maybe,maybe,0,llama3.2:1b,1.348303,2026-06-26 15:58:16
18570208,yes,no,no,0,llama3.2:1b,1.328734,2026-06-26 15:58:18
28707539,yes,no,no,0,llama3.2:1b,1.132438,2026-06-26 15:58:19
22117569,yes,no,no,0,llama3.2:1b,1.119837,2026-06-26 15:58:21
18783922,yes,maybe,maybe,0,llama3.2:1b,1.948331,2026-06-26 15:58:23
15528969,yes,no,no,0,llama3.2:1b,1.348538,2026-06-26 15:58:24
19482903,yes,no,no,0,llama3.2:1b,1.532616,2026-06-26 15:58:26
11977907,yes,no,no,0,llama3.2:1b,1.573671,2026-06-26 15:58:28
