pmid,gold,raw_prediction,parsed_prediction,correct,model,total_seconds,timestamp
12377809,yes,"yes
The analysis revealed significant differences between patients with dyschesia and healthy individuals in both the anal sphincter and musculus puborectalis muscles during voluntary straining.",yes,1,anatomy-tutor-fast,1.926152,2026-06-26 17:02:53
26163474,yes,"yes
The presence of sublingual varices is associated with an increased risk of developing hypertension due to the abnormal blood vessel formation that can lead to high blood pressure. 
The study found a significant correlation between sublingual varices and hypertension, suggesting a link between the two conditions.
The results indicate that individuals with sublingual varices are at higher risk for developing hypertension, particularly in terms of systolic blood pressure.",yes,1,anatomy-tutor-fast,4.203979,2026-06-26 17:02:58
19100463,yes,"yes
The affinity column-mediated immunoassay method is more accurate than microparticle enzyme immunoassay for measuring tacrolimus concentrations, especially in patients with low hematocrit levels.",yes,1,anatomy-tutor-fast,3.259503,2026-06-26 17:03:01
18537964,yes,"yes
The abstract describes a study that investigated how different medical specialties influence the recording of patient information in case notes.",yes,1,anatomy-tutor-fast,1.294921,2026-06-26 17:03:03
12913878,yes,"yes
maybe
no",yes,1,anatomy-tutor-fast,0.5324024,2026-06-26 17:03:03
12765819,yes,"yes
It appears that the treatment of spinal subdural hematoma with urokinase and IV fasudil hydrochloride can be effective in preventing complications such as vasospasm. 
The use of continuous CSF evacuation via cisternal drainage may help to reduce the risk of further bleeding or damage to surrounding structures.
In this case, the patient's symptoms were managed conservatively, which is typically a preferred approach for patients with spinal subdural hematoma.",yes,1,anatomy-tutor-fast,4.750445,2026-06-26 17:03:08
25475395,yes,"yes
The study suggests a correlation between circulating androgens (such as testosterone) and sexual desire in women, particularly when measured by free testosterone (FT). 
Correlation analysis revealed that higher levels of FT and androstenedione are associated with increased sexual desire. 
However, the relationship between ADT-G and sexual desire was not significant, indicating that it may be a poor predictor of sexual desire in this population.",yes,1,anatomy-tutor-fast,4.179232,2026-06-26 17:03:13
19130332,yes,"yes
maybe
no",yes,1,anatomy-tutor-fast,1.629594,2026-06-26 17:03:15
9427037,yes,"yes
Maybe",yes,1,anatomy-tutor-fast,0.4600063,2026-06-26 17:03:15
24481006,yes,"yes
maybe",yes,1,anatomy-tutor-fast,1.557248,2026-06-26 17:03:17
