pmid,gold,raw_prediction,parsed_prediction,correct,model,total_seconds,timestamp
12377809,yes,no,no,0,llama3.2:1b,7.593838,2026-06-26 16:35:07
26163474,yes,No.,no,0,llama3.2:1b,1.81087,2026-06-26 16:35:09
19100463,yes,no,no,0,llama3.2:1b,1.592367,2026-06-26 16:35:11
18537964,yes,no,no,0,llama3.2:1b,1.36235,2026-06-26 16:35:12
12913878,yes,no,no,0,llama3.2:1b,1.155367,2026-06-26 16:35:14
12765819,yes,No,no,0,llama3.2:1b,1.323123,2026-06-26 16:35:15
25475395,yes,maybe,maybe,0,llama3.2:1b,1.538297,2026-06-26 16:35:17
19130332,yes,maybe,maybe,0,llama3.2:1b,1.331944,2026-06-26 16:35:18
9427037,yes,maybe,maybe,0,llama3.2:1b,1.318111,2026-06-26 16:35:20
24481006,yes,no,no,0,llama3.2:1b,1.327507,2026-06-26 16:35:21
8165771,yes,no,no,0,llama3.2:1b,1.133692,2026-06-26 16:35:23
22680064,yes,no,no,0,llama3.2:1b,1.123065,2026-06-26 16:35:24
22540518,yes,no,no,0,llama3.2:1b,1.548809,2026-06-26 16:35:26
20629769,yes,maybe,maybe,0,llama3.2:1b,1.362741,2026-06-26 16:35:28
21726930,yes,no,no,0,llama3.2:1b,1.971886,2026-06-26 16:35:30
21481154,yes,maybe,maybe,0,llama3.2:1b,1.362467,2026-06-26 16:35:31
22902073,yes,maybe,maybe,0,llama3.2:1b,1.153492,2026-06-26 16:35:33
26370095,yes,yes,yes,1,llama3.2:1b,1.693367,2026-06-26 16:35:35
18041059,yes,maybe,maybe,0,llama3.2:1b,1.764771,2026-06-26 16:35:36
15041506,yes,no,no,0,llama3.2:1b,0.9565879,2026-06-26 16:35:38
11146778,yes,no,no,0,llama3.2:1b,1.552873,2026-06-26 16:35:39
27281318,yes,no,no,0,llama3.2:1b,2.243666,2026-06-26 16:35:43
21645374,yes,no,no,0,llama3.2:1b,1.894432,2026-06-26 16:35:45
9465206,yes,no,no,0,llama3.2:1b,2.205013,2026-06-26 16:35:47
25887165,yes,no,no,0,llama3.2:1b,1.419075,2026-06-26 16:35:49
15995461,yes,no,no,0,llama3.2:1b,1.007879,2026-06-26 16:35:50
21850494,yes,no,no,0,llama3.2:1b,1.689831,2026-06-26 16:35:52
19106867,yes,maybe,maybe,0,llama3.2:1b,0.9193148,2026-06-26 16:35:53
21342862,yes,no,no,0,llama3.2:1b,1.299687,2026-06-26 16:35:55
24352924,yes,maybe,maybe,0,llama3.2:1b,1.320317,2026-06-26 16:35:56
16147837,yes,No.,no,0,llama3.2:1b,1.59356,2026-06-26 16:35:58
26879871,yes,maybe,maybe,0,llama3.2:1b,1.579059,2026-06-26 16:36:00
15918864,yes,no,no,0,llama3.2:1b,1.658187,2026-06-26 16:36:02
22075911,yes,no,no,0,llama3.2:1b,1.333647,2026-06-26 16:36:03
11035130,yes,maybe,maybe,0,llama3.2:1b,1.541032,2026-06-26 16:36:05
21228436,yes,no,no,0,llama3.2:1b,1.122245,2026-06-26 16:36:06
11833948,yes,maybe,maybe,0,llama3.2:1b,1.112115,2026-06-26 16:36:08
17682349,yes,maybe,maybe,0,llama3.2:1b,1.282797,2026-06-26 16:36:09
17355582,yes,no,no,0,llama3.2:1b,1.284321,2026-06-26 16:36:11
15597845,yes,no,no,0,llama3.2:1b,1.286206,2026-06-26 16:36:12
10158597,yes,no,no,0,llama3.2:1b,1.512197,2026-06-26 16:36:14
27549226,yes,no,no,0,llama3.2:1b,1.919461,2026-06-26 16:36:16
26348845,yes,maybe,maybe,0,llama3.2:1b,1.562769,2026-06-26 16:36:18
