prompt,gold,anatomy-tutor__totalRequestTime,anatomy-tutor__loadSeconds,anatomy-tutor__correct,anatomy-tutor-fast__totalRequestTime,anatomy-tutor-fast__loadSeconds,anatomy-tutor-fast__correct,llama3.2__totalRequestTime,llama3.2__loadSeconds,llama3.2__correct,llama3.2:1b__totalRequestTime,llama3.2:1b__loadSeconds,llama3.2:1b__correct,meditron__totalRequestTime,meditron__loadSeconds,meditron__correct,medllama2__totalRequestTime,medllama2__loadSeconds,medllama2__correct,ncatmedllama__totalRequestTime,ncatmedllama__loadSeconds,ncatmedllama__correct,qwen2.5:3b__totalRequestTime,qwen2.5:3b__loadSeconds,qwen2.5:3b__correct
10223070 | Is perforation of the appendix a risk factor for tubal infertility and ectopic p,maybe,0.8087045,0.0277036,0,0.5317076,0.1518885,0,0.6843998,0.1554234,1,0.1709029,0.1422867,1,1.560231,0.023308,0,1.03336,0.0313159,0,0.7229332,0.0284249,0,0.6180892,0.1201715,0
10381996 | Clinician assessment for acute chest syndrome in febrile patients with sickle ce,no,0.8569801,0.0272597,0,0.5371357,0.1528359,0,0.7189754,0.1510034,0,0.1850129,0.1537425,0,0.9368582,0.0246951,0,1.254702,0.0298221,0,1.089584,0.0284363,0,0.5648152,0.126467,1
10548670 | Does the National Institutes of Health Stroke Scale favor left hemisphere stroke,yes,1.28265,0.0293531,0,0.5537643,0.1568379,1,0.8707049,0.146875,1,0.1798828,0.1455323,0,1.225748,0.028329,0,0.8668819,0.0259385,0,1.402003,0.0287992,0,0.7852879,0.1306021,0
10834864 | Risk factors for avascular necrosis of bone in patients with systemic lupus eryt,no,1.193721,0.0269512,1,0.4301077,0.1496784,0,0.6249558,0.1498019,0,0.1783971,0.1530633,0,1.490293,0.0315928,0,0.6983855,0.0270765,1,1.047298,0.0303704,1,0.741738,0.126856,1
10973547 | Are patients with Werlhof's disease at increased risk for bleeding complications,no,1.073683,0.0284424,0,0.5642243,0.1533383,0,0.5539972,0.1435728,0,0.1888503,0.1544071,0,2.533337,0.0278346,0,1.303167,0.0306877,0,0.8213845,0.026254,0,0.6679252,0.1182698,1
11411430 | Antral follicle assessment as a tool for predicting outcome in IVF--is it a bett,maybe,0.8649434,0.0274345,0,0.5227812,0.1524664,0,0.7844441,0.1575085,0,0.1849528,0.1515366,0,0.9071967,0.023004,0,0.7099771,0.0270017,0,1.164723,0.0251766,0,0.6114846,0.1185238,0
11570976 | Is it Crohn's disease?,maybe,0.947681,0.0277175,0,0.4822131,0.1491887,0,0.5082066,0.1528032,0,0.1816827,0.1522013,0,0.4450346,0.0226791,0,1.065345,0.025795,0,1.152559,0.0257263,0,0.4839482,0.1174053,0
11833948 | Does a delay in transfer to a rehabilitation unit for older people affect outcom,yes,0.8960164,0.0256667,0,0.5512933,0.1522515,1,0.596165,0.1423427,1,0.1831578,0.1534557,0,0.7415972,0.026567,0,0.6254734,0.0258428,1,0.8609074,0.0263223,0,0.5622297,0.1222292,0
11955750 | Does escalation of the apical dose change treatment outcome in beta-radiation of,no,1.386133,0.0271519,0,0.3873478,0.1541366,0,0.6592412,0.1536586,0,0.1678527,0.1409231,1,2.605855,0.0280843,0,0.7809283,0.0256067,0,1.174875,0.0284294,0,0.5419369,0.1224136,0
12098035 | Does a special interest in laparoscopy affect the treatment of acute cholecystit,yes,0.9688756,0.0266208,0,0.5470034,0.1526859,1,0.6097354,0.1521191,1,0.1811364,0.1503152,0,1.091462,0.0264123,0,1.158625,0.0252533,1,1.055218,0.0266498,0,0.6347213,0.112011,0
12163782 | Increased neutrophil migratory activity after major trauma: a factor in the etio,yes,1.219966,0.0289545,0,0.5694699,0.1498471,1,0.6691105,0.1530515,1,0.1990108,0.1613591,0,1.020679,0.0258158,0,0.8805132,0.0273119,1,1.187132,0.0287875,1,0.6473792,0.1239807,1
12172698 | Is withdrawal-induced anxiety in alcoholism based on beta-endorphin deficiency?,yes,2.055239,0.0248857,1,0.5408767,0.1536902,1,0.6526867,0.1527581,1,0.1836807,0.1486816,0,1.029003,0.0263563,0,1.394568,0.0267712,0,0.940439,0.0302574,1,0.5298127,0.1263157,1
12407608 | Does ultrasound imaging before puncture facilitate internal jugular vein cannula,maybe,0.8375524,0.0289495,0,0.55983,0.1521945,0,0.5894427,0.1422482,0,0.1791968,0.1468266,1,6.834624,0.0260288,1,1.072156,0.026324,0,0.9178084,0.0278032,0,0.5170039,0.1230395,1
12442934 | Does ibuprofen increase perioperative blood loss during hip arthroplasty?,yes,1.029982,0.0254776,0,0.4753254,0.1537249,1,0.6939561,0.1491219,1,0.18076,0.1480681,0,233.622,0.0260158,0,0.8474463,0.0277373,0,0.5316132,0.0266926,0,0.7769422,0.1217303,0
12595848 | Is specialty care associated with improved survival of patients with congestive ,yes,0.9641432,0.0262143,0,0.5883274,0.1563467,1,0.674176,0.1472982,1,0.1924214,0.1555156,0,1.076591,0.0253952,0,1.547427,0.0265314,0,0.3574759,0.0277887,1,0.5453894,0.1247112,1
12790890 | Is the cell death in mesial temporal sclerosis apoptotic?,maybe,1.040606,0.0262399,0,0.5671371,0.152595,0,0.695707,0.1554539,0,0.1808885,0.1463107,0,0.409825,0.0269014,0,0.9129952,0.0246866,0,0.9741888,0.0263465,0,0.9161448,0.1235334,0
12846929 | Quality of life in lung cancer patients: does socioeconomic status matter?,yes,0.7169871,0.0240601,0,0.5593371,0.154426,1,0.6945909,0.1547154,1,0.1789373,0.1452146,0,0.5879831,0.0322886,0,1.099385,0.0318742,1,0.7875601,0.027417,0,0.5215525,0.127415,0
14697414 | Is there a favorable subset of patients with prostate cancer who develop oligome,yes,0.9071425,0.0254965,0,0.479078,0.1581808,1,0.8461747,0.152822,1,0.1823839,0.1456352,1,5.549557,0.0251518,0,0.5810063,0.0275549,0,1.365626,0.0257307,0,0.5629641,0.1203201,0
15052394 | Are higher rates of depression in women accounted for by differential symptom re,no,0.7548818,0.0313923,1,0.4671599,0.1538201,0,0.5778611,0.1528981,1,0.1813735,0.1442836,0,1.214394,0.0281833,0,0.9134982,0.0241475,1,1.069439,0.0296188,1,0.466259,0.1331149,1
15151701 | Profiling quality of care: Is there a role for peer review?,yes,1.567479,0.0256144,1,0.436023,0.1502867,1,0.7729136,0.1508703,1,0.1832076,0.1537963,0,1.957597,0.0303356,0,1.289399,0.0263538,0,1.142014,0.0259136,0,0.6198134,0.1228117,1
